Temperature,Humidity,Pressure,Precipitation
23.0,91.96,29.26,1
24.08,87.88,29.15,1
23.0,87.83,29.12,1
23.0,87.83,29.13,1
24.08,74.15,29.13,1
24.98,68.13,29.17,1
26.06,59.73,29.19,0
26.06,56.95,29.24,0
24.08,54.41,29.28,0
23.0,52.08,29.33,0
21.92,51.9,29.34,0
21.02,51.75,29.36,0
19.04,50.99,29.38,0
17.06,50.65,29.4,0
15.08,55.22,29.43,0
14.0,52.76,29.45,0
12.92,50.37,29.47,0
12.02,50.22,29.51,0
10.94,52.69,29.57,0
10.04,49.44,29.59,0
8.96,49.69,29.6,0
8.96,49.69,29.62,0
10.94,45.46,29.65,0
12.02,41.11,29.68,0
12.92,39.5,29.67,0
14.0,37.66,29.68,0
15.08,35.92,29.69,0
15.08,34.37,29.71,0
15.98,33.05,29.73,0
15.08,34.37,29.75,0
14.0,37.66,29.79,0
14.0,36.04,29.82,0
12.92,35.84,29.82,0
12.02,37.3,29.84,0
10.94,39.13,29.85,0
10.94,37.43,29.9,0
10.04,40.74,29.93,0
10.04,40.74,29.92,0
8.96,42.77,29.92,0
8.96,42.77,29.94,0
8.96,40.91,29.95,0
8.96,42.77,29.98,0
8.06,54.06,29.99,0
8.06,54.06,29.99,0
8.06,51.75,30.01,0
8.96,45.11,30.07,0
10.04,35.3,30.07,0
10.94,32.12,30.05,0
12.02,32.32,30.04,0
12.02,32.32,30.05,0
12.02,32.32,30.06,0
12.02,35.67,30.09,0
10.94,35.47,30.11,0
10.94,37.43,30.15,0
10.04,36.93,30.21,0
8.96,38.77,30.21,0
8.06,40.38,30.22,0
8.06,42.6,30.24,0
6.98,46.78,30.28,0
6.98,49.34,30.28,0
6.08,51.41,30.28,0
6.08,51.41,30.29,0
6.08,51.41,30.34,0
6.08,53.73,30.37,0
5.0,56.45,30.37,0
5.0,56.45,30.37,0
5.0,56.45,30.4,0
5.0,56.45,30.41,0
6.08,53.73,30.45,0
8.06,49.1,30.48,0
8.96,47.14,30.45,0
12.02,43.33,30.4,0
14.0,39.7,30.38,0
15.98,38.03,30.35,0
17.06,38.22,30.33,0
17.06,42.03,30.34,0
17.06,42.03,30.32,0
17.06,42.03,30.31,0
17.06,40.26,30.31,0
17.96,40.42,30.28,0
17.96,42.55,30.25,0
17.06,48.57,30.27,0
17.06,50.65,30.23,0
17.06,53.27,30.2,0
17.96,53.42,30.2,0
17.96,51.23,30.18,0
19.04,50.99,30.16,0
19.94,51.57,30.14,0
19.04,53.59,30.13,0
19.04,58.68,30.13,0
19.94,56.46,30.12,0
21.02,53.92,30.1,0
21.92,51.9,30.09,0
23.0,49.58,30.08,0
24.08,49.77,30.06,0
26.06,47.72,30.01,0
26.96,50.25,29.97,0
28.04,48.06,29.94,0
30.02,46.5,29.9,0
30.02,55.35,29.92,1
28.94,68.63,29.92,1
28.94,68.63,29.93,1
30.02,68.76,29.93,0
30.02,68.76,29.93,0
30.02,71.44,29.9,0
30.92,68.87,29.9,0
30.92,68.87,29.9,0
30.92,68.87,29.88,0
30.92,68.87,29.86,0
30.92,68.87,29.87,0
30.92,72.08,29.87,0
33.08,69.13,29.88,0
33.08,69.13,29.89,0
33.08,71.78,29.91,0
33.08,71.78,29.94,0
33.08,71.78,29.96,0
33.98,69.24,30.0,0
37.04,61.32,30.01,0
39.92,52.75,30.0,0
42.08,44.3,29.99,0
42.98,39.34,29.99,0
42.98,39.34,30.0,0
42.98,39.34,30.02,0
42.08,40.72,30.05,0
41.0,42.46,30.08,0
39.92,44.28,30.11,0
39.02,48.02,30.14,0
37.04,53.92,30.16,0
37.04,49.56,30.19,0
35.96,49.77,30.2,0
35.06,49.24,30.22,0
33.98,51.4,30.23,0
33.98,51.4,30.24,0
33.08,55.83,30.27,0
32.0,55.66,30.28,0
30.92,60.91,30.29,0
30.92,60.91,30.29,0
30.92,58.15,30.3,0
30.02,60.31,30.31,0
30.92,60.91,30.32,0
33.08,53.29,30.35,0
33.98,53.85,30.35,0
35.96,49.77,30.35,0
37.94,47.84,30.33,0
39.02,49.89,30.29,0
39.02,54.64,30.28,0
39.92,54.78,30.28,0
39.02,59.34,30.28,0
37.04,66.57,30.28,0
37.94,67.18,30.28,0
37.94,72.85,30.28,0
39.92,67.43,30.3,0
39.92,69.94,30.28,0
41.0,70.06,30.27,0
41.0,73.18,30.26,0
42.08,72.76,30.24,0
42.98,76.05,30.23,0
42.08,75.97,30.23,0
42.98,76.05,30.22,0
42.08,75.97,30.21,0
42.08,75.97,30.21,0
42.08,75.97,30.22,0
42.08,75.97,30.21,0
42.08,78.73,30.22,0
44.06,70.41,30.25,0
44.96,73.59,30.25,0
44.96,70.51,30.25,0
46.94,68.28,30.22,0
50.0,65.81,30.19,0
51.08,73.7,30.18,0
51.08,71.19,30.18,0
53.06,71.41,30.18,0
48.92,73.99,30.17,0
48.92,77.15,30.16,0
46.04,82.46,30.14,0
48.92,89.74,30.11,0
48.92,92.84,30.09,0
50.0,89.18,30.08,0
51.08,89.23,30.07,0
51.08,85.68,30.04,0
48.92,89.74,30.01,0
48.02,92.81,29.99,0
44.06,95.95,29.97,0
46.94,92.78,29.92,0
51.98,92.94,29.9,0
57.92,96.82,29.87,0
55.94,96.79,29.85,0
55.04,93.03,29.83,1
57.02,96.17,29.79,1
57.92,96.82,29.78,1
60.08,92.58,29.75,0
60.98,93.2,29.71,0
60.98,96.86,29.68,1
60.98,96.86,29.65,1
59.0,96.21,29.62,1
57.92,96.82,29.59,1
60.08,96.23,29.59,0
57.92,96.82,29.58,0
57.92,96.82,29.56,0
55.94,100.0,29.54,1
55.94,96.79,29.51,1
53.96,96.76,29.46,1
55.94,96.79,29.42,1
57.02,96.17,29.38,1
57.02,96.17,29.36,1
55.94,96.79,29.33,1
55.04,96.14,29.27,1
53.96,96.76,29.19,1
53.06,100.0,29.18,1
57.02,93.09,29.23,0
44.06,85.25,29.36,0
35.96,78.77,29.48,0
30.02,71.44,29.58,0
28.04,62.91,29.66,0
28.04,57.71,29.71,0
30.02,55.35,29.73,0
32.0,51.08,29.76,0
33.08,48.91,29.81,0
33.08,48.91,29.87,0
30.92,51.31,29.92,0
28.04,50.43,29.97,0
24.98,54.55,30.02,1
24.08,51.83,30.07,1
23.0,52.08,30.11,1
21.92,49.81,30.14,0
21.02,44.94,30.18,0
19.94,44.75,30.21,0
19.04,46.51,30.24,0
17.06,50.65,30.25,0
17.06,53.27,30.29,0
15.98,53.09,30.32,0
15.98,55.83,30.34,0
15.98,55.83,30.33,0
15.08,55.22,30.36,0
15.08,55.22,30.39,0
15.08,52.94,30.42,0
15.08,50.32,30.46,0
17.06,46.16,30.51,0
19.04,38.59,30.48,0
21.02,32.25,30.48,0
23.0,31.23,30.44,0
24.08,29.85,30.44,0
24.08,28.34,30.45,0
23.0,28.15,30.46,0
21.92,32.69,30.48,0
21.02,37.32,30.49,0
19.94,40.78,30.5,0
19.04,38.59,30.52,0
17.96,40.42,30.5,0
17.06,46.16,30.52,0
17.06,46.16,30.54,0
15.98,48.38,30.51,0
15.98,50.9,30.5,0
15.98,50.9,30.52,0
15.98,53.09,30.52,0
15.98,53.09,30.51,0
17.06,55.54,30.5,0
17.96,58.99,30.51,0
17.96,58.99,30.51,0
17.96,61.47,30.5,0
19.94,59.29,30.52,0
23.0,62.2,30.51,0
24.98,62.48,30.5,1
26.06,62.63,30.45,1
28.94,57.85,30.42,1
28.04,57.71,30.39,1
30.02,55.35,30.37,1
28.94,60.63,30.36,1
28.04,62.91,30.37,1
26.96,65.77,30.38,1
26.06,70.98,30.38,0
26.06,70.98,30.38,0
24.98,74.24,30.36,0
24.98,71.41,30.35,0
24.98,74.24,30.35,0
24.98,71.41,30.33,0
24.98,71.41,30.33,0
24.98,74.24,30.33,0
24.98,80.83,30.35,0
26.06,80.92,30.35,0
24.98,80.83,30.34,0
26.06,77.28,30.34,0
26.96,80.99,30.35,0
28.04,81.08,30.35,0
28.94,81.77,30.35,0
32.0,74.97,30.35,0
33.08,71.78,30.34,0
33.98,72.42,30.31,0
35.06,69.37,30.28,0
35.06,69.37,30.27,0
35.06,69.37,30.27,0
35.06,72.0,30.26,0
33.08,77.93,30.25,0
33.08,77.93,30.25,0
33.08,77.93,30.26,0
33.98,78.59,30.24,0
33.98,78.59,30.23,0
33.98,81.55,30.22,0
33.98,85.23,30.2,0
35.06,81.63,30.18,0
35.96,81.7,30.15,0
35.96,85.35,30.14,0
35.96,89.15,30.13,0
35.06,95.78,30.11,0
35.96,96.49,30.1,0
35.06,92.39,30.1,0
33.98,96.46,30.1,0
33.08,95.75,30.11,0
33.08,95.75,30.11,0
33.08,95.75,30.11,0
33.08,91.65,30.1,1
33.08,91.65,30.07,1
33.08,91.65,30.05,1
33.08,88.36,30.03,1
33.08,81.48,30.02,1
30.92,75.43,30.03,1
28.94,71.86,30.02,0
28.94,68.63,30.03,0
26.96,62.76,30.02,0
24.98,62.48,30.02,0
24.08,61.86,30.03,0
23.0,56.94,30.03,0
23.0,56.94,30.02,0
21.92,56.77,30.03,0
21.02,58.98,29.98,0
21.02,58.98,29.98,0
19.94,61.76,29.96,0
19.04,64.18,29.91,0
19.04,64.18,29.89,0
19.04,64.18,29.87,0
19.94,59.29,29.92,0
21.02,56.63,29.92,0
21.02,56.63,29.88,0
24.08,45.48,29.9,0
26.06,43.63,29.89,0
28.94,38.74,29.84,1
30.02,37.07,29.8,1
30.92,37.54,29.78,1
30.92,37.54,29.77,0
32.0,39.29,29.78,0
30.92,42.73,29.79,0
30.92,42.73,29.84,0
30.02,48.4,29.87,0
28.94,50.58,29.88,0
28.04,50.43,29.9,0
26.96,52.72,29.93,0
26.06,54.73,29.92,0
26.06,54.73,29.91,0
24.98,57.24,29.89,0
24.98,57.24,29.89,0
24.98,57.24,29.89,0
24.98,57.24,29.9,0
26.06,56.95,29.9,0
26.96,52.72,29.9,0
28.04,52.48,29.9,0
30.02,48.4,29.9,0
30.02,48.4,29.92,0
30.92,46.66,29.93,0
32.0,46.84,29.92,0
33.98,45.36,29.89,0
33.98,45.36,29.86,0
35.06,43.44,29.84,0
37.04,41.78,29.82,0
37.04,41.78,29.83,0
37.04,43.78,29.83,0
37.04,43.78,29.83,0
37.94,43.94,29.83,0
39.02,42.12,29.83,0
39.02,44.12,29.83,0
39.92,42.6,29.82,0
41.0,39.0,29.8,0
39.02,44.12,29.77,0
39.92,42.6,29.76,0
39.02,44.12,29.75,0
37.94,46.03,29.74,0
39.02,44.12,29.73,0
39.92,44.28,29.72,0
39.92,44.28,29.72,0
39.92,44.28,29.71,0
39.92,46.36,29.72,0
42.08,44.3,29.73,0
42.98,44.79,29.75,0
46.94,40.32,29.74,0
50.0,37.33,29.72,0
51.08,35.87,29.69,0
51.98,33.42,29.7,0
50.0,37.33,29.72,0
48.92,40.65,29.74,0
48.02,42.05,29.78,0
46.94,43.79,29.8,0
46.94,45.45,29.83,0
46.04,47.02,29.85,0
46.04,47.02,29.86,0
44.96,48.99,29.87,0
46.04,47.02,29.88,0
44.96,48.99,29.89,0
44.06,53.01,29.89,0
44.06,53.01,29.91,0
44.06,50.7,29.92,0
42.98,52.84,29.92,0
44.06,50.7,29.94,0
42.98,55.24,29.96,0
42.98,55.24,29.99,0
42.98,55.24,30.0,0
44.96,51.22,30.02,0
44.96,53.15,30.04,0
46.04,49.16,30.04,0
46.94,49.31,30.02,0
48.02,47.35,30.0,0
48.92,45.78,29.98,0
50.0,43.97,29.98,0
50.0,43.97,29.98,0
50.0,45.96,29.99,0
48.92,49.63,30.01,0
50.0,52.01,30.01,0
50.0,52.01,30.03,0
48.92,56.14,30.02,0
48.92,56.14,30.02,0
48.92,58.61,30.02,0
50.0,58.34,30.01,0
46.94,68.28,30.01,0
44.96,73.59,30.0,0
42.98,79.37,29.99,1
42.98,79.37,29.98,0
42.08,82.17,29.98,0
42.08,78.73,29.99,0
42.08,78.73,30.0,0
42.98,79.37,30.02,0
42.98,79.37,30.04,0
44.06,76.16,30.04,0
44.96,76.24,30.05,0
46.04,73.18,30.03,0
46.04,76.34,30.01,0
46.04,76.34,29.99,0
46.04,76.34,29.98,0
44.96,79.54,29.99,0
42.98,85.79,29.99,0
42.08,88.81,30.0,0
41.0,88.75,30.0,0
39.92,89.33,29.98,0
39.02,92.52,29.97,0
37.94,96.52,29.95,0
37.94,100.0,29.93,0
39.02,95.86,29.92,0
37.94,100.0,29.87,0
37.94,96.52,29.84,0
39.02,95.86,29.81,0
39.92,92.55,29.76,0
39.92,96.55,29.72,0
42.08,95.91,29.69,0
44.06,100.0,29.63,1
50.0,100.0,29.61,1
51.98,96.73,29.57,1
53.96,96.76,29.54,1
55.04,93.03,29.48,1
55.94,93.05,29.41,1
55.94,93.05,29.39,1
59.0,69.2,29.37,1
59.0,66.91,29.36,0
60.08,61.82,29.38,0
55.04,74.1,29.44,1
51.98,58.63,29.47,0
51.98,56.59,29.49,0
50.0,47.67,29.52,0
46.94,47.52,29.55,0
46.04,49.16,29.56,0
44.96,51.22,29.58,0
44.06,53.01,29.58,0
44.06,50.7,29.58,0
42.98,55.24,29.59,0
42.98,57.32,29.6,0
42.98,57.32,29.61,0
42.98,57.32,29.63,0
42.08,59.34,29.66,0
42.98,52.84,29.69,0
42.08,50.38,29.73,0
41.0,50.59,29.77,0
39.92,50.41,29.8,0
39.92,50.41,29.81,0
41.0,46.19,29.81,0
41.0,44.46,29.8,0
39.02,44.12,29.81,0
37.04,47.69,29.83,0
35.96,47.51,29.87,0
26.96,48.27,30.0,0
24.98,54.55,30.0,0
24.08,56.65,30.02,0
24.08,51.83,30.05,0
23.0,52.08,30.07,0
23.0,56.94,30.1,0
24.08,54.41,30.12,0
24.08,54.41,30.15,0
24.08,54.41,30.17,0
26.06,47.72,30.19,0
26.96,42.03,30.21,0
28.04,36.72,30.23,0
30.02,30.9,30.23,0
33.08,23.66,30.21,0
33.08,21.54,30.23,0
33.08,22.67,30.25,0
33.98,20.78,30.27,0
32.0,22.5,30.29,0
32.0,24.71,30.32,0
30.92,24.74,30.35,0
30.02,26.78,30.37,0
30.02,25.66,30.39,0
28.94,29.44,30.4,0
28.94,27.99,30.41,0
28.94,27.99,30.42,0
28.04,30.55,30.43,0
28.04,29.04,30.45,0
26.96,31.94,30.45,0
26.96,31.94,30.46,0
26.06,34.58,30.48,0
26.06,33.16,30.5,0
26.06,34.58,30.53,0
28.04,30.55,30.54,0
28.94,33.67,30.56,0
30.02,35.58,30.58,0
30.92,34.3,30.57,0
33.98,34.56,30.54,0
35.06,31.79,30.51,0
35.96,29.2,30.49,0
37.94,28.37,30.48,0
37.94,31.01,30.47,0
35.96,38.12,30.46,0
33.08,51.26,30.48,0
33.98,53.85,30.49,0
35.06,58.32,30.5,0
33.98,53.85,30.49,0
33.98,58.6,30.48,0
33.98,63.72,30.47,0
35.96,58.89,30.45,0
35.96,61.63,30.43,0
37.04,59.05,30.42,0
37.94,67.18,30.39,0
37.04,75.48,30.37,0
37.94,72.85,30.36,0
37.94,69.71,30.35,0
37.94,69.71,30.35,0
37.04,69.6,30.34,0
39.02,64.4,30.34,0
41.0,59.62,30.33,0
42.98,52.84,30.31,0
46.94,43.79,30.26,0
51.98,33.42,30.22,0
53.96,35.03,30.18,0
53.96,41.2,30.16,0
55.04,48.48,30.15,0
55.04,54.68,30.13,0
55.04,56.63,30.13,0
55.94,54.81,30.14,0
55.04,56.63,30.13,0
55.04,56.63,30.12,0
55.04,56.63,30.09,0
55.04,56.63,30.09,0
55.04,61.57,30.06,0
53.96,69.1,30.06,0
51.08,85.68,30.07,1
50.0,89.18,30.07,1
50.0,89.18,30.08,1
48.92,92.84,30.1,1
48.92,92.84,30.11,1
50.0,89.18,30.12,1
48.92,89.74,30.12,1
48.92,89.74,30.13,0
48.92,92.84,30.11,1
48.92,77.15,30.09,1
50.0,76.71,30.07,0
50.0,68.16,30.07,0
50.0,60.89,30.07,0
50.0,63.08,30.07,0
48.92,65.67,30.08,0
48.02,60.61,30.09,0
48.02,58.06,30.09,0
48.02,58.06,30.09,0
48.02,60.61,30.09,0
46.94,63.13,30.09,0
46.94,70.74,30.09,0
46.04,65.31,30.09,0
44.06,59.62,30.09,0
42.98,57.32,30.09,0
41.0,59.62,30.06,0
41.0,57.03,30.06,0
41.0,54.94,30.07,0
41.0,52.53,30.08,0
41.0,50.59,30.08,0
41.0,50.59,30.07,0
42.08,50.38,30.07,0
42.08,50.38,30.06,0
42.98,50.9,30.03,0
42.98,50.9,29.99,0
42.98,50.9,29.97,0
42.98,50.9,29.95,0
42.08,52.7,29.93,0
42.08,57.19,29.93,0
42.08,59.34,29.92,0
39.92,62.18,29.91,0
39.92,57.29,29.91,0
39.02,59.34,29.88,0
37.94,61.9,29.88,0
37.04,64.13,29.86,0
35.06,69.37,29.85,1
32.0,85.1,29.84,1
30.92,88.9,29.82,1
30.92,85.03,29.83,1
30.02,88.2,29.81,1
30.02,92.22,29.82,1
30.02,92.22,29.82,1
30.02,92.22,29.82,1
30.92,88.9,29.82,1
30.92,88.9,29.82,0
32.0,81.4,29.82,0
33.08,81.48,29.83,0
33.98,75.17,29.8,0
35.96,72.64,29.77,1
33.98,58.6,29.8,0
32.0,55.66,29.83,0
30.92,51.31,29.88,0
28.94,50.58,29.92,0
28.04,48.06,29.94,0
26.96,50.25,29.96,0
26.06,52.16,29.98,0
24.98,54.55,30.0,0
24.08,51.83,30.0,0
23.0,52.08,30.01,0
21.92,51.9,30.02,0
21.02,53.92,30.07,0
19.94,54.18,30.05,0
19.04,53.59,30.07,0
17.96,56.14,30.09,0
17.96,56.14,30.14,0
17.96,53.42,30.16,0
19.04,53.59,30.14,0
21.02,44.94,30.13,0
23.0,41.33,30.12,0
26.96,35.03,30.11,0
28.94,35.39,30.05,0
30.92,32.64,29.99,0
32.0,34.21,30.0,0
32.0,32.84,29.99,0
32.0,39.29,29.96,0
32.0,35.93,29.94,0
32.0,37.42,29.93,0
32.0,39.29,29.91,0
32.0,42.92,29.91,0
32.0,49.11,29.92,0
32.0,51.08,29.9,0
32.0,53.54,29.9,0
32.0,53.54,29.9,0
33.98,51.4,29.89,0
33.98,55.97,29.87,0
33.98,58.6,29.86,0
35.06,58.32,29.85,0
35.06,58.32,29.84,0
35.96,56.27,29.84,0
35.96,56.27,29.82,0
37.04,56.43,29.83,0
37.94,54.47,29.83,0
39.02,52.21,29.83,0
41.0,48.34,29.79,0
42.08,48.52,29.78,0
44.06,44.97,29.76,0
44.96,45.12,29.75,0
44.96,45.12,29.75,0
44.96,47.2,29.75,0
44.06,50.7,29.75,0
42.98,62.14,29.76,1
44.06,53.01,29.76,1
42.98,59.91,29.73,1
42.98,67.8,29.69,1
41.0,75.86,29.66,1
39.92,79.11,29.65,1
37.94,89.24,29.65,1
37.94,89.24,29.66,1
37.04,88.56,29.66,1
35.06,75.28,29.68,1
33.08,66.06,29.74,0
30.02,58.01,29.77,0
28.94,53.05,29.81,0
26.96,45.98,29.85,0
26.96,40.34,29.86,0
26.06,41.87,29.88,0
26.06,41.87,29.88,0
24.98,39.66,29.87,0
26.06,37.91,29.88,0
24.98,38.04,29.91,0
24.08,41.18,29.95,0
23.0,45.29,29.99,0
23.0,39.3,30.03,0
21.02,38.94,30.07,0
19.94,39.08,30.11,0
17.96,42.55,30.15,0
17.06,44.24,30.19,0
17.06,44.24,30.21,0
17.06,44.24,30.23,0
17.06,46.16,30.23,0
15.98,46.36,30.21,0
15.98,48.38,30.22,0
17.06,48.57,30.22,0
17.06,48.57,30.24,0
17.06,46.16,30.27,0
17.96,48.72,30.27,0
19.04,46.51,30.28,0
19.94,47.06,30.28,0
21.92,45.1,30.31,0
23.0,43.09,30.28,0
26.06,39.85,30.26,0
26.96,38.39,30.23,0
28.04,38.58,30.2,0
30.02,33.86,30.19,0
30.02,35.58,30.19,0
30.02,35.58,30.19,0
30.02,40.55,30.2,0
30.02,40.55,30.21,0
28.94,42.38,30.21,0
28.94,44.49,30.21,0
28.94,44.49,30.21,0
30.02,44.32,30.2,0
30.02,44.32,30.2,0
30.02,46.5,30.19,0
30.92,44.83,30.17,0
30.92,48.93,30.15,0
32.0,46.84,30.16,0
32.0,51.08,30.15,0
33.08,51.26,30.12,0
33.98,49.44,30.1,0
35.06,47.36,30.12,0
37.04,45.52,30.09,0
37.94,43.94,30.07,0
39.92,44.28,30.04,0
42.98,44.79,30.0,0
37.94,64.25,29.94,0
39.02,72.44,29.88,1
41.0,70.06,29.83,0
39.92,82.59,29.79,1
39.92,89.33,29.75,1
41.0,92.59,29.7,1
44.96,92.72,29.67,1
44.96,96.63,29.63,1
44.06,95.95,29.58,1
44.96,96.63,29.51,1
39.92,96.55,29.47,1
39.92,92.55,29.48,1
39.92,92.55,29.47,1
39.02,88.66,29.49,0
39.02,85.54,29.5,0
37.94,85.48,29.52,0
37.04,85.42,29.54,0
37.94,78.94,29.58,0
37.94,78.94,29.61,0
39.02,75.67,29.67,0
33.08,63.12,29.75,1
30.92,53.36,29.83,0
30.92,51.31,29.87,0
30.92,35.74,29.9,0
30.02,38.94,29.93,0
30.92,35.74,29.94,0
30.92,35.74,29.96,0
30.92,34.3,29.98,0
30.02,35.58,30.0,0
30.02,32.22,30.04,0
28.94,38.74,30.09,0
28.04,42.22,30.11,0
28.04,43.98,30.12,0
26.96,42.03,30.13,0
26.06,45.82,30.13,0
26.06,45.82,30.14,0
26.96,44.14,30.15,0
26.96,45.98,30.15,0
28.04,43.98,30.13,0
28.04,52.48,30.13,0
28.04,48.06,30.15,0
28.94,50.58,30.14,0
30.02,48.4,30.18,0
30.02,46.5,30.21,0
30.02,48.4,30.22,0
32.0,44.66,30.22,0
33.08,42.76,30.21,0
35.06,49.24,30.2,0
35.96,51.72,30.18,0
35.06,51.58,30.18,0
37.04,49.56,30.17,0
37.04,49.56,30.19,0
35.96,51.72,30.22,0
35.06,53.61,30.24,0
35.06,53.61,30.27,0
35.06,56.13,30.31,0
33.98,58.6,30.33,0
33.98,51.4,30.33,0
33.08,48.91,30.34,0
33.08,51.26,30.33,0
32.0,55.66,30.34,0
30.92,63.31,30.34,0
30.92,66.29,30.32,0
30.02,65.67,30.32,0
30.02,63.18,30.33,0
30.02,60.31,30.29,0
30.92,60.91,30.25,0
30.92,68.87,30.23,0
30.92,78.32,30.21,1
30.02,88.2,30.16,1
30.02,88.2,30.12,1
32.0,88.3,30.05,1
32.0,95.72,30.0,1
33.08,91.65,29.91,1
33.08,95.75,29.83,1
33.08,95.75,29.76,1
39.02,92.52,29.71,1
41.0,95.89,29.74,1
44.06,88.9,29.75,1
41.0,88.75,29.78,0
39.92,89.33,29.8,1
39.02,75.67,29.84,1
35.06,69.37,29.88,0
33.08,66.06,29.94,0
32.0,60.6,29.98,0
30.92,58.15,30.01,0
30.02,58.01,30.02,0
28.94,60.63,30.04,0
28.04,60.02,30.07,0
26.96,62.76,30.1,0
26.06,59.73,30.13,0
26.06,59.73,30.17,0
26.06,56.95,30.19,0
28.04,52.48,30.2,0
28.04,50.43,30.21,0
30.02,48.4,30.2,0
30.92,48.93,30.2,0
30.02,48.4,30.16,0
30.92,46.66,30.15,0
30.92,48.93,30.16,0
30.92,48.93,30.18,0
30.92,48.93,30.2,0
30.02,53.22,30.24,0
28.94,46.32,30.26,0
28.94,46.32,30.26,0
28.94,48.6,30.28,0
28.94,48.6,30.31,0
28.04,52.48,30.3,0
26.96,54.87,30.31,0
26.96,54.87,30.33,0
26.96,52.72,30.36,0
26.96,52.72,30.35,0
26.96,52.72,30.36,0
26.06,54.73,30.35,0
26.06,56.95,30.38,0
28.04,55.04,30.42,0
28.04,55.04,30.41,0
28.94,53.05,30.41,0
32.0,46.84,30.42,0
32.0,46.84,30.41,0
33.08,47.02,30.37,0
33.98,45.36,30.34,0
33.98,51.4,30.33,0
33.08,55.83,30.32,0
33.98,58.6,30.31,0
35.06,63.87,30.29,0
35.06,63.87,30.29,0
35.96,63.99,30.3,0
35.96,72.64,30.29,0
37.94,69.71,30.27,0
39.02,72.44,30.26,0
39.02,75.67,30.25,0
39.92,76.31,30.22,0
41.0,75.86,30.2,0
42.98,76.05,30.18,0
42.08,78.73,30.16,0
42.08,82.17,30.16,0
39.92,85.6,30.15,0
39.92,85.6,30.15,0
42.08,85.13,30.15,0
46.04,76.34,30.14,0
46.04,79.07,30.12,0
48.02,76.53,30.11,0
48.92,77.15,30.07,0
48.92,89.74,30.04,1
46.94,92.78,30.01,1
44.96,96.63,30.01,1
46.04,92.75,29.99,1
46.94,92.78,29.99,1
44.96,96.63,29.97,0
44.96,96.63,29.94,1
44.96,96.63,29.91,1
44.96,96.63,29.9,1
44.96,100.0,29.89,1
46.94,96.66,29.87,1
44.96,96.63,29.88,1
46.04,95.99,29.88,1
48.02,96.02,29.89,1
48.92,92.84,29.88,1
46.94,96.66,29.88,1
46.94,96.66,29.89,1
46.94,96.66,29.9,1
46.94,96.66,29.92,1
46.04,95.99,29.89,1
46.94,96.66,29.89,1
46.94,96.66,29.88,1
46.94,96.66,29.87,1
46.94,96.66,29.81,1
46.94,100.0,29.78,1
48.02,96.02,29.75,1
51.08,96.07,29.71,1
55.94,93.05,29.69,1
60.98,93.2,29.69,1
57.92,96.82,29.7,1
57.02,96.17,29.72,0
55.94,96.79,29.72,1
55.04,93.03,29.73,0
53.06,96.11,29.74,0
